position_id,amount0,amount1,current,timestamp,type,owner,prices_token0_usd,prices_token0_eth,prices_token0_token1,prices_token0_token_key,prices_token1_usd,prices_token1_eth,prices_token1_token0,prices_token1_token_key
417295_0x75e126db7f730fada6c3b879413bea339a357e50,0.0,0.0,True,1745830609,unclaimed-fees-state,0x75e126db7f730fada6c3b879413bea339a357e50,0.0,0,0,token0,0.0,0,0,token1
417781_0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0.0,True,1745830638,unclaimed-fees-state,0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0,0,token0,0.0,0,0,token1
417570_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,0.0,0.0,True,1745830640,unclaimed-fees-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,0.0,0,0,token0,0.0,0,0,token1
97802_0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,0.0,0.0,True,1745830643,unclaimed-fees-state,0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,0.0,0,0,token0,0.0,0,0,token1
418546_0x84754ff267164b75413ad01f35429e52125c0cdf,0.0,0.0,True,1745830648,unclaimed-fees-state,0x84754ff267164b75413ad01f35429e52125c0cdf,0.0,0,0,token0,0.0,0,0,token1
417651_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830650,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0,0,token0,0.0,0,0,token1
417773_0x077490ea44ead91c83d019b96cb9792ec04175cf,0.0,0.0,True,1745830654,unclaimed-fees-state,0x077490ea44ead91c83d019b96cb9792ec04175cf,0.0,0,0,token0,0.0,0,0,token1
417429_0x965f166c972ac0ce323a9f017b11c5944eb96fd8,0.0,0.0,True,1745830689,unclaimed-fees-state,0x965f166c972ac0ce323a9f017b11c5944eb96fd8,0.0,0,0,token0,0.0,0,0,token1
784781_0xbf246450f226f236ffd523dd527d28c5a852d6dd,0.0,0.0,True,1745830716,unclaimed-fees-state,0xbf246450f226f236ffd523dd527d28c5a852d6dd,1806.639301,1,1809.379332,token0,0.9984856515,0.0005526757061577184,0.0005526757062,token1
4391575_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,0.0,True,1745830687,unclaimed-fees-state,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,1806.639301,1,1808.862141,token0,0.998771139,0.0005528337274837813,0.0005528337275,token1
4384548_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,0.0,True,1745830687,unclaimed-fees-state,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,1806.639301,1,1808.862141,token0,0.998771139,0.0005528337274837813,0.0005528337275,token1
4127942_0xb515c3052193d329b34dccfc9e25750b7df0c40b,0.0,0.0,True,1745830692,unclaimed-fees-state,0xb515c3052193d329b34dccfc9e25750b7df0c40b,1809.481207,1,1811.587218,token0,0.9988374774,0.0005520021283948865,0.0005520021284,token1
4246114_0xb515c3052193d329b34dccfc9e25750b7df0c40b,0.0,0.0,True,1745830692,unclaimed-fees-state,0xb515c3052193d329b34dccfc9e25750b7df0c40b,1809.481207,1,1811.587218,token0,0.9988374774,0.0005520021283948865,0.0005520021284,token1
4233532_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,0.005210882100093045,10.276433,True,1745830641,unclaimed-fees-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1806.639301,1,1808.370452,token0,0.9990427014,0.000552984041038019,0.000552984041,token1
1965711_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830652,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,94558.81458,52.339620049069296,94649.42234,token0,0.9990427014,0.000552984041038019,1.056530484e-05,token1
4174_0xbf246450f226f236ffd523dd527d28c5a852d6dd,0.0,0.0,True,1745830716,unclaimed-fees-state,0xbf246450f226f236ffd523dd527d28c5a852d6dd,1808.010734,1,1808.157304,token0,0.9999189395,0.0005530492272778311,0.0005530492273,token1
318474_0x75e126db7f730fada6c3b879413bea339a357e50,0.0,0.0,True,1745830618,unclaimed-fees-state,0x75e126db7f730fada6c3b879413bea339a357e50,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
507729_0x75e126db7f730fada6c3b879413bea339a357e50,0.0,0.0,True,1745830618,unclaimed-fees-state,0x75e126db7f730fada6c3b879413bea339a357e50,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
716215_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,0.0,0.0,True,1745830641,unclaimed-fees-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
243013_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,0.0,0.0,True,1745830641,unclaimed-fees-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
212678_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,0.0,0.0,True,1745830641,unclaimed-fees-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
736933_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,0.0,0.0,True,1745830641,unclaimed-fees-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
793060_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,0.0,0.0,True,1745830642,unclaimed-fees-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
807411_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,0.0,0.0,True,1745830642,unclaimed-fees-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
793139_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,0.0,0.0,True,1745830642,unclaimed-fees-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
793119_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,0.0,0.0,True,1745830642,unclaimed-fees-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
480398_0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,0.0,0.0,True,1745830644,unclaimed-fees-state,0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
45082_0x020ef786f8c4d19ec3f949fd933ccd1b264c9f9a,0.0,0.0,True,1745830647,unclaimed-fees-state,0x020ef786f8c4d19ec3f949fd933ccd1b264c9f9a,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
736864_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
395326_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
360571_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
637647_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
562034_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
360550_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
872449_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,0.0,True,1745830687,unclaimed-fees-state,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
862989_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,0.0,True,1745830687,unclaimed-fees-state,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
773961_0x965f166c972ac0ce323a9f017b11c5944eb96fd8,0.07593174344209182,132.943419,True,1745830689,unclaimed-fees-state,0x965f166c972ac0ce323a9f017b11c5944eb96fd8,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1
706445_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830653,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,1.16157295,0.000642718577770066,1.16157295,token0,1.0,0.0005533174456030549,0.8609015901,token1
21557_0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,0.0,0.0,True,1745830627,unclaimed-fees-state,0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,1.0,0.0005533174456030549,1,token0,1.0,0.0005533174456030549,1,token1
463511_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830653,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,1.0,0.0005533174456030549,1,token0,1.0,0.0005533174456030549,1,token1
709572_0x84754ff267164b75413ad01f35429e52125c0cdf,0.00694701,533.157944,True,1745830648,unclaimed-fees-state,0x84754ff267164b75413ad01f35429e52125c0cdf,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
374493_0x84754ff267164b75413ad01f35429e52125c0cdf,0.0,0.0,True,1745830650,unclaimed-fees-state,0x84754ff267164b75413ad01f35429e52125c0cdf,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
714887_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
685942_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
736336_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
816096_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
751481_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830653,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
859540_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830653,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
586687_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830653,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
687681_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830653,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
671704_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830653,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,94518.72536,52.298859679326824,94518.72536,token0,1.0,0.0005533174456030549,1.057991415e-05,token1
402709_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0.0,True,1745830651,unclaimed-fees-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.2421772978,0.00013400092378204297,0.2421772978,token0,1.0,0.0005533174456030549,4.129206202,token1
706424_0x051d091b254ecdbbb4eb8e6311b7939829380b27,0.0,0.0,True,1745830653,unclaimed-fees-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,94518.72536,52.298859679326824,81371.32096,token0,1.16157295,0.000642718577770066,1.228934209e-05,token1
871992_0x020ef786f8c4d19ec3f949fd933ccd1b264c9f9a,0.0,0.0,True,1745830647,unclaimed-fees-state,0x020ef786f8c4d19ec3f949fd933ccd1b264c9f9a,1807.280808,1,12550564850.0,token0,1.439999577e-07,7.967768878641925e-11,7.967768879e-11,token1
870988_0x020ef786f8c4d19ec3f949fd933ccd1b264c9f9a,0.0,0.0,True,1745830647,unclaimed-fees-state,0x020ef786f8c4d19ec3f949fd933ccd1b264c9f9a,1807.280808,1,12550564850.0,token0,1.439999577e-07,7.967768878641925e-11,7.967768879e-11,token1
321006_0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0.0,True,1745830639,unclaimed-fees-state,0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,94518.72536,52.298859679326824,5.504133667,token0,17172.3165,9.501742298392815,0.1816816343,token1
342223_0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0.0,True,1745830639,unclaimed-fees-state,0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,94518.72536,52.298859679326824,5.504133667,token0,17172.3165,9.501742298392815,0.1816816343,token1
368198_0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0.0,True,1745830639,unclaimed-fees-state,0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0,0,token0,1807.280808,1,0,token1
649891_0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,0.0,0.0,True,1745830656,unclaimed-fees-state,0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
728805_0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,0.0,0.0,True,1745830656,unclaimed-fees-state,0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
670895_0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,0.0,0.0,True,1745830656,unclaimed-fees-state,0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
684812_0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,0.0,0.0,True,1745830656,unclaimed-fees-state,0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
633962_0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,0.0,0.0,True,1745830656,unclaimed-fees-state,0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
640383_0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,0.0,0.0,True,1745830656,unclaimed-fees-state,0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
629773_0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,0.0,0.0,True,1745830656,unclaimed-fees-state,0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
864605_0x85e01add9bcc25918c330c42deea69ce5be3ec5d,0.0,0.0,True,1745830672,unclaimed-fees-state,0x85e01add9bcc25918c330c42deea69ce5be3ec5d,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
462639_0x85e01add9bcc25918c330c42deea69ce5be3ec5d,0.0,0.0,True,1745830673,unclaimed-fees-state,0x85e01add9bcc25918c330c42deea69ce5be3ec5d,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
360825_0x85e01add9bcc25918c330c42deea69ce5be3ec5d,0.0,0.0,True,1745830672,unclaimed-fees-state,0x85e01add9bcc25918c330c42deea69ce5be3ec5d,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
453388_0x85e01add9bcc25918c330c42deea69ce5be3ec5d,0.0,0.0,True,1745830672,unclaimed-fees-state,0x85e01add9bcc25918c330c42deea69ce5be3ec5d,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
820607_0x85e01add9bcc25918c330c42deea69ce5be3ec5d,0.0,0.0,True,1745830672,unclaimed-fees-state,0x85e01add9bcc25918c330c42deea69ce5be3ec5d,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
821636_0x85e01add9bcc25918c330c42deea69ce5be3ec5d,0.0,0.0,True,1745830673,unclaimed-fees-state,0x85e01add9bcc25918c330c42deea69ce5be3ec5d,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
514953_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,0.0,True,1745830687,unclaimed-fees-state,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
850809_0xb515c3052193d329b34dccfc9e25750b7df0c40b,0.0,0.0,True,1745830692,unclaimed-fees-state,0xb515c3052193d329b34dccfc9e25750b7df0c40b,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
737539_0xbf246450f226f236ffd523dd527d28c5a852d6dd,0.04572433,1.117972165780277,True,1745830708,unclaimed-fees-state,0xbf246450f226f236ffd523dd527d28c5a852d6dd,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
349052_0xbf246450f226f236ffd523dd527d28c5a852d6dd,0.00588017,0.10812893804721035,True,1745830708,unclaimed-fees-state,0xbf246450f226f236ffd523dd527d28c5a852d6dd,94740.41669,52.421525356600384,52.42152536,token0,1807.280808,1,0.0190761332,token1
319055_0x75e126db7f730fada6c3b879413bea339a357e50,0.0,0.0,True,1745830618,unclaimed-fees-state,0x75e126db7f730fada6c3b879413bea339a357e50,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
362598_0x75e126db7f730fada6c3b879413bea339a357e50,0.0,0.0,True,1745830618,unclaimed-fees-state,0x75e126db7f730fada6c3b879413bea339a357e50,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
919979_0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,0.00333937,0.14452452410259384,True,1745830626,unclaimed-fees-state,0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
21550_0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,0.0,0.0,True,1745830637,unclaimed-fees-state,0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
919978_0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,0.0,0.0,True,1745830637,unclaimed-fees-state,0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
930187_0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.00001319,0.000627214042787829,True,1745830638,unclaimed-fees-state,0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
316872_0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0.0,True,1745830639,unclaimed-fees-state,0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
413103_0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0.0,True,1745830639,unclaimed-fees-state,0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
735475_0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,0.0,0.0,True,1745830644,unclaimed-fees-state,0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
700368_0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,0.0,0.0,True,1745830644,unclaimed-fees-state,0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
347762_0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,0.0,0.0,True,1745830644,unclaimed-fees-state,0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
433520_0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,0.0,0.0,True,1745830644,unclaimed-fees-state,0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
680042_0x17ac2eeaf4eeefab2379118d8ffde37188243bbf,0.0,0.0,True,1745830645,unclaimed-fees-state,0x17ac2eeaf4eeefab2379118d8ffde37188243bbf,94518.72536,52.298859679326824,52.29885968,token0,1807.280808,1,0.01912087579,token1
